fyers_symbol,stock_name,sector,industry,basic_industry
NSE:ASMS-EQ,Bartronics India Limited,Information Technology,IT - Services,IT Enabled Services
NSE:ASPINWALL-EQ,Aspinwall and Company Limited,Diversified,Diversified,Diversified
NSE:ASTAR-EQ,Asian Star Company Limited,Consumer Durables,Consumer Durables,Gems Jewellery And Watches
NSE:ASTEC-EQ,Astec LifeSciences Limited,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
NSE:ASTERDM-EQ,Aster DM Healthcare Limited,Healthcare,Healthcare Services,Hospital
NSE:ASTRAL-EQ,Astral Limited,Capital Goods,Industrial Products,Plastic Products - Industrial
NSE:ASTRAMICRO-EQ,Astra Microwave Products Limited,Capital Goods,Aerospace & Defense,Aerospace & Defense
NSE:ASTRAZEN-EQ,AstraZeneca Pharma India Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:ASTRON-BE,Astron Paper & Board Mill Limited,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products
NSE:ATALREAL-EQ,Atal Realtech Limited,Realty,Realty,Residential Commercial Projects
NSE:ATAM-EQ,Atam Valves Limited,Capital Goods,Industrial Manufacturing,Industrial Products
NSE:ATGL-EQ,Adani Total Gas Limited,Oil Gas & Consumable Fuels,Gas,LPG/CNG/PNG/LNG Supplier
NSE:ATHERENERG-EQ,Ather Energy Limited,Automobile and Auto Components,Automobiles,2/3 Wheelers
NSE:ATL-EQ,Allcargo Terminals Limited,Services,Transport Infrastructure,Port & Port services
NSE:ATLANTAA-EQ,ATLANTAA LIMITED,Services,Transport Infrastructure,Road Assets - Toll Annuity Hybrid-Annuity
NSE:ATLANTAELE-BE,Atlanta Electricals Limited,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
NSE:ATLASCYCLE-EQ,Atlas Cycles (Haryana) Limited,Consumer Durables,Consumer Durables,Cycles
NSE:ATUL-EQ,Atul Limited,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
NSE:ATULAUTO-EQ,Atul Auto Limited,Capital Goods,Agricultural Commercial & Construction Vehicles,Commercial Vehicles
NSE:AUBANK-EQ,AU Small Finance Bank Limited,Financial Services,Banks,Other Bank
NSE:AURIGROW-EQ,Auri Grow India Limited,Capital Goods,Industrial Products,Cables - Electricals
NSE:AURIONPRO-EQ,Aurionpro Solutions Limited,Information Technology,IT - Software,Computers - Software & Consulting
NSE:AUROPHARMA-EQ,Aurobindo Pharma Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:AURUM-EQ,Aurum PropTech Limited,Information Technology,IT - Services,IT Enabled Services
NSE:AUSOMENT-BE,Ausom Enterprise Limited,Consumer Durables,Consumer Durables,Gems Jewellery And Watches
NSE:AUTOAXLES-EQ,Automotive Axles Limited,Automobile and Auto Components,Auto Components,Auto Components & Equipments
NSE:AUTOIND-BE,Autoline Industries Limited,Automobile and Auto Components,Auto Components,Auto Components & Equipments
NSE:AVADHSUGAR-BE,Avadh Sugar & Energy Limited,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
NSE:AVALON-EQ,Avalon Technologies Limited,Capital Goods,Electrical Equipment,Other Electrical Equipment
NSE:AVANTEL-EQ,Avantel Limited,Capital Goods,Aerospace & Defense,Aerospace & Defense
NSE:AVANTIFEED-EQ,Avanti Feeds Limited,Fast Moving Consumer Goods,Food Products,Animal Feed
NSE:AVG-EQ,AVG Logistics Limited,Services,Transport Services,Logistics Solution Provider
NSE:AVL-EQ,Aditya Vision Limited,Consumer Services,Retailing,Speciality Retail
NSE:AVONMORE-EQ,Avonmore Capital & Management Services Limited,Financial Services,Finance,Non Banking Financial Company (NBFC)
NSE:AVROIND-EQ,AVRO INDIA LIMITED,Consumer Durables,Consumer Durables,Plastic Products - Consumer
NSE:AVTNPL-EQ,AVT Natural Products Limited,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
NSE:AWFIS-EQ,Awfis Space Solutions Limited,Services,Commercial Services & Supplies,Diversified Commercial Services
NSE:AWHCL-EQ,Antony Waste Handling Cell Limited,Utilities,Other Utilities,Waste Management
NSE:AWL-EQ,AWL Agri Business Limited,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
NSE:AXISBANK-EQ,Axis Bank Limited,Financial Services,Banks,Private Sector Bank
NSE:AXISCADES-EQ,AXISCADES Technologies Limited,Capital Goods,Aerospace & Defense,Aerospace & Defense
NSE:AXITA-EQ,Axita Cotton Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:AYE-EQ,Aye Finance Limited,Financial Services,Finance,Non Banking Financial Company (NBFC)
NSE:AYMSYNTEX-EQ,AYM Syntex Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:AZAD-EQ,Azad Engineering Limited,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
NSE:BAFNAPH-EQ,Bafna Pharmaceuticals Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:BAGFILMS-EQ,B.A.G Films and Media Limited,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production
